Symbol,Sector,Sub-Industry,Headquarter,Founded
FCX,Materials,Copper,"Phoenix, Arizona",1912
GRMN,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",1989
IT,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",1979
GEHC,Health Care,Health Care Technology,"Chicago, Illinois",1994
GEN,Information Technology,Application Software,"Tempe, Arizona",1982
GNRC,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",1959
GD,Industrials,Aerospace & Defense,"Falls Church, Virginia",1899
GE,Industrials,Industrial Conglomerates,"Boston, Massachusetts",1892
GIS,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1856
GM,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",1908
GPC,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",1925
GILD,Health Care,Biotechnology,"Foster City, California",1987
GL,Financials,Life & Health Insurance,"McKinney, Texas",1900
GPN,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2000
GS,Financials,Investment Banking & Brokerage,"New York City, New York",1869
HAL,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1919
HIG,Financials,Property & Casualty Insurance,"Hartford, Connecticut",1810
HAS,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1923
HCA,Health Care,Health Care Facilities,"Nashville, Tennessee",1968
PEAK,Real Estate,Health Care REITs,"Long Beach, California",1985
HSIC,Health Care,Health Care Distributors,"Melville, New York",1932
HSY,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1894
HES,Energy,Integrated Oil & Gas,"New York City, New York",1919
HPE,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015
HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",1919
HOLX,Health Care,Health Care Equipment,"Marlborough, Massachusetts",1985
HD,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1978
HON,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",1906
HRL,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",1891
HST,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",1993
HWM,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",2016
HPQ,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1939
HUM,Health Care,Managed Health Care,"Louisville, Kentucky",1961
HBAN,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1866
HII,Industrials,Aerospace & Defense,"Newport News, Virginia",2011
IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",1911
IEX,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",1988
IDXX,Health Care,Health Care Equipment,"Westbrook, Maine",1983
ITW,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",1912
ILMN,Health Care,Life Sciences Tools & Services,"San Diego, California",1998
INCY,Health Care,Biotechnology,"Wilmington, Delaware",1991
IR,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",1859
PODD,Health Care,Health Care Equipment,"Acton, Massachusetts",2000
INTC,Information Technology,Semiconductors,"Santa Clara, California",1968
ICE,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2000
IFF,Materials,Specialty Chemicals,"New York City, New York",1958
IP,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1898
IPG,Communication Services,Advertising,"New York City, New York",1961
INTU,Information Technology,Application Software,"Mountain View, California",1983
ISRG,Health Care,Health Care Equipment,"Sunnyvale, California",1995
IVZ,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",1935
INVH,Real Estate,Residential REITs,"Dallas, Texas",2012
IQV,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",1982
IRM,Real Estate,Other Specialized REITs,"Boston, Massachusetts",1951
JBHT,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",1961
JKHY,Financials,Transaction & Payment Processing Services,"Monett, Missouri",1976
J,Industrials,Construction & Engineering,"Dallas, Texas",1947
